County  ,Municipality  ,LD  ,CD  ,Residential 2013,Residential 2014,Residential 2015,Residential 2016,Residential 2017,COO 2013,COO 2014,COO 2015,COO 2016,COO 2017,Med Rent 2013,Med Rent  2014,Med Rent  2015,Med Rent  2016,Med Rent  2017,Res. Prop Value 2013,Res. Prop Value 2014,Res. Prop Value 2015,Res. Prop Value 2016,Res. Prop Value 2017,Occ % 2013,Occ %  2014,Occ %  2015,Occ %  2016,Occ %  2017,OwnOcc 2013,OwnOcc  2014,OwnOcc  2015,OwnOcc  2016,OwnOcc  2017
Burlington,Beverly,7,3,0,0,0,-,-,0,0,0,-,-,"1,088","1,013","1,033",-,-,"124,372","119,976","124,054","131,474","131,474",92.27,92.27,92.27,92.27,92.27,68.46,68.46,68.46,68.46,68.46
Monmouth,Holmdel,13,4,21,16,12,-,-,6,18,21,-,-,"1,105","1,336","1,188",-,-,"648,953","656,408","671,046","672,495","672,495",96.41,96.41,96.41,96.41,96.41,90.19,90.19,90.19,90.19,90.19
Essex,Maplewood,27,10,5,3,237,-,-,116,69,0,-,-,"1,435","1,416","1,352",-,-,"426,064","439,074","451,647","488,426","488,426",95.72,95.72,95.72,95.72,95.72,78.4,78.4,78.4,78.4,78.4
Bergen,Oradell,38,5,0,8,9,-,-,3,2,10,-,-,"1,601","1,400","1,339",-,-,"530,961","536,749","561,070","565,584","565,584",97.1,97.1,97.1,97.1,97.1,89.85,89.85,89.85,89.85,89.85
Essex,Caldwell,27,11,0,10,11,-,-,1,0,1,-,-,"1,382","1,317","1,309",-,-,"416,169","441,706","468,025","451,440","451,440",95.7,95.7,95.7,95.7,95.7,48.68,48.68,48.68,48.68,48.68
Monmouth,Lake Como,30,4,2,4,5,-,-,3,1,4,-,-,"1,514","1,363","1,301",-,-,"361,840","361,420","376,622","392,547","392,547",70.4,70.4,70.4,70.4,70.4,59.24,59.24,59.24,59.24,59.24
Essex,Bloomfield,28,"10, 11",50,558,512,-,-,59,21,227,-,-,"1,183","1,202","1,217",-,-,"289,255","286,366","284,090","291,680","291,680",94.44,94.44,94.44,94.44,94.44,53.98,53.98,53.98,53.98,53.98
Monmouth,Keansburg,13,6,7,21,1,-,-,7,7,14,-,-,"1,086","1,078",969,-,-,"151,034","152,879","150,987","147,769","147,769",88.12,88.12,88.12,88.12,88.12,55.32,55.32,55.32,55.32,55.32
Essex,Fairfield,26,11,0,0,0,-,-,1,1,0,-,-,"1,552","1,710","1,704",-,-,"432,573","444,775","519,124","500,065","500,065",97.14,97.14,97.14,97.14,97.14,87.03,87.03,87.03,87.03,87.03
Burlington,Mansfield,8,3,15,9,27,-,-,9,13,22,-,-,"1,394","1,406","1,352",-,-,"282,182","282,576","291,229","301,003","301,003",96.37,96.37,96.37,96.37,96.37,94.21,94.21,94.21,94.21,94.21
Burlington,Hainesport,8,3,2,1,18,-,-,3,0,12,-,-,"1,163","1,166","1,129",-,-,"281,837","282,324","289,415","293,033","293,033",97.14,97.14,97.14,97.14,97.14,90.67,90.67,90.67,90.67,90.67
Essex,East Orange,34,10,68,13,147,-,-,4,70,1,-,-,971,993,991,-,-,"196,318","191,415","184,448","184,976","184,976",86.61,86.61,86.61,86.61,86.61,26.57,26.57,26.57,26.57,26.57
Monmouth,Little Silver,13,4,36,18,39,-,-,10,16,16,-,-,"1,688","2,100","2,129",-,-,"629,494","656,504","660,881","666,694","666,694",94.21,94.21,94.21,94.21,94.21,94.41,94.41,94.41,94.41,94.41
Sussex,Franklin,24,5,0,0,0,-,-,3,4,0,-,-,"1,123","1,147","1,046",-,-,"190,414","184,255","181,606","180,992","180,992",90.64,90.64,90.64,90.64,90.64,71.02,71.02,71.02,71.02,71.02
Sussex,Hampton Twp,24,5,1,1,1,-,-,2,1,1,-,-,"1,197","1,450","1,423",-,-,"233,448","234,195","234,924","238,008","238,008",91.86,91.86,91.86,91.86,91.86,91.19,91.19,91.19,91.19,91.19
Sussex,Byram,24,11,1,4,4,-,-,5,2,6,-,-,"1,632","1,516","1,445",-,-,"267,282","262,624","264,686","264,257","264,257",91.24,91.24,91.24,91.24,91.24,93.57,93.57,93.57,93.57,93.57
Sussex,Sparta,24,11,20,20,2,-,-,14,27,17,-,-,"1,074","1,138","1,030",-,-,"396,896","393,080","389,055","384,368","384,368",92.52,92.52,92.52,92.52,92.52,88.91,88.91,88.91,88.91,88.91
Burlington,Moorestown,7,3,21,55,37,-,-,7,16,45,-,-,"1,145","1,141","1,127",-,-,"479,190","519,001","528,559","538,347","538,347",94.76,94.76,94.76,94.76,94.76,79.11,79.11,79.11,79.11,79.11
Sussex,Wantage,24,5,3,8,7,-,-,51,3,4,-,-,"1,152","1,182","1,125",-,-,"254,520","253,107","251,236","247,899","247,899",93.7,93.7,93.7,93.7,93.7,88.93,88.93,88.93,88.93,88.93
Burlington,Pemberton Twp,8,3,14,8,9,-,-,23,5,14,-,-,995,"1,092","1,126",-,-,"161,294","159,187","158,955","158,506","158,506",93,93,93,93,93,73.06,73.06,73.06,73.06,73.06
Bergen,Teterboro,36,9,0,0,0,-,-,0,0,0,-,-,"1,667","1,500","1,573",-,-,"173,528","157,798","152,625","159,666","159,666",92.59,92.59,92.59,92.59,92.59,0,0,0,0,0
Sussex,Hopatcong,24,11,4,4,2,-,-,4,8,3,-,-,"1,727","1,693","1,384",-,-,"253,107","245,642","250,651","240,718","240,718",89.79,89.79,89.79,89.79,89.79,88.94,88.94,88.94,88.94,88.94
Burlington,Chesterfield,12,3,28,53,55,-,-,25,26,51,-,-,"1,287","1,579","1,473",-,-,"381,718","386,434","384,875","393,115","393,115",96.13,96.13,96.13,96.13,96.13,94.41,94.41,94.41,94.41,94.41
Sussex,Newton,24,5,0,0,0,-,-,0,0,45,-,-,"1,048","1,068","1,075",-,-,"204,243","195,489","192,633","193,260","193,260",91.12,91.12,91.12,91.12,91.12,49.31,49.31,49.31,49.31,49.31
Warren,Phillipsburg,23,7,4,0,0,-,-,2,1,0,-,-,824,850,875,-,-,"129,662","124,689","118,487","113,609","113,609",89.68,89.68,89.68,89.68,89.68,55.63,55.63,55.63,55.63,55.63
Warren,Hardwick,24,5,2,1,1,-,-,1,1,0,-,-,"1,250","2,100","1,917",-,-,"290,153","292,096","291,619","290,197","290,197",92.57,92.57,92.57,92.57,92.57,91.97,91.97,91.97,91.97,91.97
Ocean,Lakehurst,10,4,0,0,0,-,-,7,0,0,-,-,"1,541","1,585","1,723",-,-,"201,128","187,281","182,939","180,164","180,164",93.43,93.43,93.43,93.43,93.43,67.2,67.2,67.2,67.2,67.2
