County  ,Municipality  ,LD  ,CD  ,Residential 2013,Residential 2014,Residential 2015,Residential 2016,Residential 2017,COO 2013,COO 2014,COO 2015,COO 2016,COO 2017,Med Rent 2013,Med Rent  2014,Med Rent  2015,Med Rent  2016,Med Rent  2017,Res. Prop Value 2013,Res. Prop Value 2014,Res. Prop Value 2015,Res. Prop Value 2016,Res. Prop Value 2017,Occ % 2013,Occ %  2014,Occ %  2015,Occ %  2016,Occ %  2017,OwnOcc 2013,OwnOcc  2014,OwnOcc  2015,OwnOcc  2016,OwnOcc  2017
Hudson,Weehawken,33,8,742,507,5,-,-,36,16,836,-,-,"1,212","1,222","1,269",-,-,"526,602","588,136","543,704","604,837","604,837",91.94,91.94,91.94,91.94,91.94,33.95,33.95,33.95,33.95,33.95
Middlesex,Jamesburg,14,12,0,1,0,-,-,0,4,0,-,-,"1,050","1,109","1,090",-,-,"226,789","233,378","228,888","233,067","233,067",95.81,95.81,95.81,95.81,95.81,64.87,64.87,64.87,64.87,64.87
Hudson,Union City,33,8,41,31,175,-,-,3,12,8,-,-,"1,066","1,095","1,113",-,-,"235,857","250,903","266,747","279,090","279,090",91.51,91.51,91.51,91.51,91.51,20.09,20.09,20.09,20.09,20.09
Middlesex,Helmetta,18,12,0,0,0,-,-,0,0,0,-,-,"1,662","1,654","1,586",-,-,"221,587","218,897","221,428","228,657","228,657",96.85,96.85,96.85,96.85,96.85,87.32,87.32,87.32,87.32,87.32
Ocean,Lavallette,10,3,74,103,53,-,-,17,68,90,-,-,"1,289","1,500","1,536",-,-,"763,912","738,051","753,835","797,747","797,747",29.47,29.47,29.47,29.47,29.47,79.15,79.15,79.15,79.15,79.15
Hunterdon,Bloomsbury,23,7,0,1,0,-,-,0,0,0,-,-,"1,369","1,331","1,340",-,-,"236,121","241,023","223,633","228,946","228,946",94.13,94.13,94.13,94.13,94.13,81.31,81.31,81.31,81.31,81.31
Ocean,Little Egg Harbor,9,2,173,251,181,-,-,142,156,185,-,-,"1,441","1,316","1,326",-,-,"210,971","208,826","199,254","200,020","200,020",78.07,78.07,78.07,78.07,78.07,84.06,84.06,84.06,84.06,84.06
Middlesex,Milltown,17,12,2,0,67,-,-,3,0,23,-,-,"1,309","1,255","1,229",-,-,"312,928","310,326","312,104","321,582","321,582",96.33,96.33,96.33,96.33,96.33,83.38,83.38,83.38,83.38,83.38
Hunterdon,Alexandria,23,7,3,4,7,-,-,2,4,3,-,-,0,-,-,-,-,"409,651","418,601","409,731","416,242","416,242",94.26,94.26,94.26,94.26,94.26,88.85,88.85,88.85,88.85,88.85
Ocean,Long Beach,9,2,152,158,114,-,-,58,166,116,-,-,871,"1,431","1,313",-,-,"977,770","994,562","1,012,829","1,001,126","1,001,126",16.7,16.7,16.7,16.7,16.7,85.71,85.71,85.71,85.71,85.71
Middlesex,Metuchen,18,6,52,19,227,-,-,51,21,15,-,-,"1,566","1,603","1,521",-,-,"375,909","388,659","403,328","411,980","411,980",96.38,96.38,96.38,96.38,96.38,78.45,78.45,78.45,78.45,78.45
Ocean,Manchester,10,4,41,8,11,-,-,47,23,10,-,-,"1,074","1,143","1,136",-,-,"172,961","174,986","179,991","184,151","184,151",88.23,88.23,88.23,88.23,88.23,89.11,89.11,89.11,89.11,89.11
Ocean,Mantoloking,10,3,10,28,20,-,-,3,1,13,-,-,"1,750","2,100","2,250",-,-,"1,922,098","2,351,802","2,392,774","2,474,669","2,474,669",30.28,30.28,30.28,30.28,30.28,93.83,93.83,93.83,93.83,93.83
Middlesex,Edison,18,6,41,109,60,-,-,27,39,34,-,-,"1,349","1,377","1,352",-,-,"354,809","367,083","393,363","398,419","398,419",96.34,96.34,96.34,96.34,96.34,65.4,65.4,65.4,65.4,65.4
Ocean,Ocean Twp,9,3,103,161,52,-,-,71,79,127,-,-,"1,719","1,541","1,304",-,-,"273,041","275,604","280,919","283,304","283,304",81.17,81.17,81.17,81.17,81.17,88.89,88.89,88.89,88.89,88.89
Ocean,Pine Beach,9,3,2,2,0,-,-,2,0,3,-,-,"1,653","1,719","1,618",-,-,"294,712","297,875","289,621","295,555","295,555",90.59,90.59,90.59,90.59,90.59,88.39,88.39,88.39,88.39,88.39
Middlesex,Sayreville,19,6,139,17,125,-,-,104,59,105,-,-,"1,138","1,142","1,160",-,-,"274,435","275,493","284,227","291,333","291,333",95.38,95.38,95.38,95.38,95.38,69.85,69.85,69.85,69.85,69.85
Hudson,East Newark,32,8,0,2,0,-,-,60,0,2,-,-,"1,182","1,233","1,292",-,-,"257,890","229,118","227,593","229,580","229,580",95.59,95.59,95.59,95.59,95.59,29.12,29.12,29.12,29.12,29.12
Gloucester,Woolwich,3,2,194,71,44,-,-,181,124,42,-,-,"1,314","1,436","1,481",-,-,"294,698","305,061","305,911","312,688","312,688",95.91,95.91,95.91,95.91,95.91,90.23,90.23,90.23,90.23,90.23
Hudson,Hoboken,33,8,295,253,457,-,-,145,319,276,-,-,"1,747","1,829","1,931",-,-,"526,198","588,753","615,480","699,666","699,666",93.25,93.25,93.25,93.25,93.25,32.14,32.14,32.14,32.14,32.14
Middlesex,North Brunswick,17,12,13,6,4,-,-,186,8,1,-,-,"1,437","1,452","1,447",-,-,"289,913","284,027","287,861","284,668","284,668",96.72,96.72,96.72,96.72,96.72,60.94,60.94,60.94,60.94,60.94
Hudson,Guttenberg,32,8,4,4,4,-,-,4,6,2,-,-,"1,236","1,261","1,292",-,-,"276,488","285,085","284,415","301,244","301,244",92.44,92.44,92.44,92.44,92.44,38.01,38.01,38.01,38.01,38.01
Middlesex,Monroe,14,12,446,369,387,-,-,0,481,412,-,-,"1,486","1,535","1,568",-,-,"304,594","310,329","335,644","355,140","355,140",91.64,91.64,91.64,91.64,91.64,93.47,93.47,93.47,93.47,93.47
Middlesex,Piscataway,17,6,163,15,14,-,-,28,63,38,-,-,"1,361","1,397","1,430",-,-,"302,496","283,927","304,985","305,255","305,255",95.91,95.91,95.91,95.91,95.91,69.38,69.38,69.38,69.38,69.38
Hudson,North Bergen,32,8,0,0,0,-,-,0,0,0,-,-,"1,152","1,155","1,211",-,-,"249,525","255,646","275,823","295,421","295,421",92.26,92.26,92.26,92.26,92.26,39.5,39.5,39.5,39.5,39.5
Middlesex,Perth Amboy,19,6,33,25,157,-,-,66,4,31,-,-,"1,140","1,167","1,166",-,-,"245,807","237,206","223,914","237,336","237,336",93.13,93.13,93.13,93.13,93.13,35.48,35.48,35.48,35.48,35.48
Hudson,Kearny,32,"8, 9",14,156,5,-,-,4,13,1,-,-,"1,168","1,181","1,184",-,-,"288,681","306,048","320,726","322,934","322,934",94.94,94.94,94.94,94.94,94.94,45.78,45.78,45.78,45.78,45.78
Morris,Mendham Twp,25,11,1,0,0,-,-,0,1,1,-,-,"1,411","1,398","1,726",-,-,"903,905","933,992","923,477","929,462","929,462",94.67,94.67,94.67,94.67,94.67,94.93,94.93,94.93,94.93,94.93
Morris,Morris Plains,26,11,6,3,0,-,-,6,2,0,-,-,"1,748","1,696","1,747",-,-,"436,989","457,836","458,539","465,478","465,478",97,97,97,97,97,82.78,82.78,82.78,82.78,82.78
Morris,Florham Park,27,11,27,23,16,-,-,16,22,23,-,-,"2,100","2,100","2,125",-,-,"568,051","590,944","610,361","625,500","625,500",95.29,95.29,95.29,95.29,95.29,69.47,69.47,69.47,69.47,69.47
Morris,Long Hill,21,7,0,2,4,-,-,3,3,4,-,-,"1,761","1,652","1,611",-,-,"487,901","505,367","538,979","532,042","532,042",96.25,96.25,96.25,96.25,96.25,85.57,85.57,85.57,85.57,85.57
Morris,Chester,25,7,0,0,2,-,-,2,0,1,-,-,"1,063","1,117","1,293",-,-,"465,498","567,911","486,708","494,764","494,764",95.05,95.05,95.05,95.05,95.05,75.45,75.45,75.45,75.45,75.45
Morris,Dover,25,7,4,0,8,-,-,2,5,0,-,-,"1,281","1,281","1,280",-,-,"257,758","247,801","252,767","245,533","245,533",96.18,96.18,96.18,96.18,96.18,48.81,48.81,48.81,48.81,48.81
Morris,Boonton,25,11,2,0,1,-,-,2,1,0,-,-,"1,274","1,241","1,248",-,-,"353,010","370,018","362,919","375,867","375,867",95.2,95.2,95.2,95.2,95.2,60.43,60.43,60.43,60.43,60.43
Morris,Butler,26,11,23,1,1,-,-,9,12,10,-,-,"1,157","1,193","1,214",-,-,"320,484","338,408","319,445","313,775","313,775",95.65,95.65,95.65,95.65,95.65,68.62,68.62,68.62,68.62,68.62
Morris,Mount Arlington,25,7,31,12,274,-,-,11,33,8,-,-,"1,397","1,491","1,494",-,-,"314,695","317,472","312,996","316,107","316,107",89.71,89.71,89.71,89.71,89.71,73.76,73.76,73.76,73.76,73.76
Morris,Mountain Lakes,25,11,1,15,12,-,-,7,1,16,-,-,"2,100","2,100","1,850",-,-,"870,228","870,358","872,102","864,505","864,505",96.33,96.33,96.33,96.33,96.33,95.58,95.58,95.58,95.58,95.58
Atlantic,Estell Manor,1,2,2,2,2,-,-,2,3,2,-,-,"1,292","1,313","1,285",-,-,"196,592","189,645","193,376","185,400","185,400",91.98,91.98,91.98,91.98,91.98,93.54,93.54,93.54,93.54,93.54
Atlantic,Galloway,9,2,31,35,28,-,-,29,30,15,-,-,"1,253","1,268","1,229",-,-,"191,631","184,293","180,281","171,213","171,213",92.46,92.46,92.46,92.46,92.46,76.64,76.64,76.64,76.64,76.64
Hunterdon,Flemington,16,7,0,0,1,-,-,0,0,0,-,-,"1,244","1,258","1,256",-,-,"252,057","264,363","265,115","259,114","259,114",94.24,94.24,94.24,94.24,94.24,37.69,37.69,37.69,37.69,37.69
Atlantic,Egg Harbor Twp,2,2,104,118,103,-,-,94,109,95,-,-,950,"1,128","1,073",-,-,"222,224","212,009","213,188","209,020","209,020",93.29,93.29,93.29,93.29,93.29,86.86,86.86,86.86,86.86,86.86
Hunterdon,Clinton Twp,23,7,2,3,3,-,-,4,3,1,-,-,"1,358","1,591","1,599",-,-,"402,006","410,134","410,870","417,402","417,402",96.43,96.43,96.43,96.43,96.43,86.87,86.87,86.87,86.87,86.87
Hunterdon,East Amwell,15,7,3,0,14,-,-,0,0,2,-,-,"1,672","1,642","1,765",-,-,"391,460","393,575","396,479","390,097","390,097",96.08,96.08,96.08,96.08,96.08,88.14,88.14,88.14,88.14,88.14
Hunterdon,Califon,23,7,0,0,0,-,-,0,0,0,-,-,"1,704","1,712","1,667",-,-,"303,898","300,826","310,639","320,749","320,749",94.03,94.03,94.03,94.03,94.03,88.07,88.07,88.07,88.07,88.07
Atlantic,Margate,2,2,90,93,47,-,-,41,55,64,-,-,"1,041","1,122","1,072",-,-,"559,054","560,518","563,758","573,882","573,882",44.36,44.36,44.36,44.36,44.36,77.06,77.06,77.06,77.06,77.06
Atlantic,Hammonton,8,2,6,5,17,-,-,11,7,4,-,-,"1,001","1,037","1,096",-,-,"205,085","205,932","209,573","212,164","212,164",94.63,94.63,94.63,94.63,94.63,69.45,69.45,69.45,69.45,69.45
Atlantic,Linwood,2,2,6,4,5,-,-,2,2,5,-,-,"1,357","1,388","1,427",-,-,"320,105","318,509","303,978","294,757","294,757",94.82,94.82,94.82,94.82,94.82,88.28,88.28,88.28,88.28,88.28
Union,Scotch Plains,22,"7, 12",13,20,22,-,-,3,4,11,-,-,"1,433","1,414","1,389",-,-,"474,532","487,715","492,258","502,063","502,063",96.62,96.62,96.62,96.62,96.62,79.22,79.22,79.22,79.22,79.22
Union,Summit,21,7,20,23,18,-,-,38,12,21,-,-,"1,482","1,530","1,532",-,-,"872,679","904,453","938,726","965,830","965,830",94.11,94.11,94.11,94.11,94.11,68.15,68.15,68.15,68.15,68.15
Warren,Belvidere,24,5,0,0,0,-,-,0,0,0,-,-,951,933,941,-,-,"169,726","163,585","169,969","172,267","172,267",92.46,92.46,92.46,92.46,92.46,67.27,67.27,67.27,67.27,67.27
Union,Kenilworth,21,7,7,5,0,-,-,8,5,3,-,-,"1,516","1,466","1,473",-,-,"298,792","310,773","302,592","304,790","304,790",97.16,97.16,97.16,97.16,97.16,77.3,77.3,77.3,77.3,77.3
Warren,Franklin Twp,23,7,0,2,3,-,-,0,1,2,-,-,"1,157","1,158","1,128",-,-,"274,752","279,305","275,875","293,900","293,900",92.04,92.04,92.04,92.04,92.04,88.59,88.59,88.59,88.59,88.59
Morris,Roxbury,25,7,9,2,11,-,-,10,5,3,-,-,"1,370","1,294","1,218",-,-,"313,212","316,951","333,204","329,913","329,913",96.62,96.62,96.62,96.62,96.62,87.17,87.17,87.17,87.17,87.17
Union,New Providence,21,7,13,253,118,-,-,0,10,1,-,-,"1,370","1,375","1,393",-,-,"552,063","536,236","554,167","564,794","564,794",97.16,97.16,97.16,97.16,97.16,76.57,76.57,76.57,76.57,76.57
Union,Hillside,20,10,12,1,8,-,-,5,3,7,-,-,"1,216","1,211","1,199",-,-,"227,914","220,681","223,125","228,248","228,248",94.37,94.37,94.37,94.37,94.37,68.55,68.55,68.55,68.55,68.55
Union,Linden,22,10,76,286,17,-,-,90,29,267,-,-,"1,154","1,165","1,170",-,-,"258,012","238,089","259,194","267,002","267,002",93.93,93.93,93.93,93.93,93.93,56.98,56.98,56.98,56.98,56.98
Union,Roselle,20,10,0,0,6,-,-,2,0,1,-,-,"1,071","1,072","1,084",-,-,"198,678","205,872","204,135","207,264","207,264",93.3,93.3,93.3,93.3,93.3,59.46,59.46,59.46,59.46,59.46
Union,Mountainside,21,7,6,7,4,-,-,3,4,10,-,-,"1,634","1,739","2,213",-,-,"573,737","587,476","603,155","612,527","612,527",96.48,96.48,96.48,96.48,96.48,90.92,90.92,90.92,90.92,90.92
Union,Rahway,22,10,118,123,8,-,-,62,282,12,-,-,"1,206","1,222","1,262",-,-,"245,958","227,959","226,567","229,069","229,069",93.21,93.21,93.21,93.21,93.21,59.45,59.45,59.45,59.45,59.45
Union,Plainfield,22,12,55,6,11,-,-,1,4,29,-,-,"1,175","1,167","1,142",-,-,"232,520","229,163","245,039","250,871","250,871",91.33,91.33,91.33,91.33,91.33,50.01,50.01,50.01,50.01,50.01
Union,Springfield,21,7,8,14,5,-,-,30,8,2,-,-,"1,668","1,608","1,568",-,-,"360,211","355,173","346,281","356,882","356,882",96.66,96.66,96.66,96.66,96.66,68.36,68.36,68.36,68.36,68.36
Union,Roselle Park,21,10,1,1,1,-,-,3,0,2,-,-,"1,184","1,181","1,183",-,-,"251,951","255,166","269,429","264,696","264,696",95.62,95.62,95.62,95.62,95.62,59.44,59.44,59.44,59.44,59.44
Union,Westfield,21,7,47,74,90,-,-,1,4,7,-,-,"1,518","1,669","1,600",-,-,"705,565","715,112","730,455","745,522","745,522",96.49,96.49,96.49,96.49,96.49,81.05,81.05,81.05,81.05,81.05
Union,Union Twp,20,"7, 10",12,6,356,-,-,11,6,1,-,-,"1,377","1,371","1,355",-,-,"272,252","269,485","266,279","277,540","277,540",96.57,96.57,96.57,96.57,96.57,75.41,75.41,75.41,75.41,75.41
Warren,Hackettstown,23,5,0,0,1,-,-,1,26,1,-,-,"1,065","1,073","1,095",-,-,"252,135","273,550","268,004","262,385","262,385",95.21,95.21,95.21,95.21,95.21,58.66,58.66,58.66,58.66,58.66
Warren,Allamuchy,24,5,48,25,33,-,-,22,22,26,-,-,"1,617","1,691","1,485",-,-,"242,492","244,642","248,731","251,833","251,833",93.18,93.18,93.18,93.18,93.18,87.4,87.4,87.4,87.4,87.4
Atlantic,Weymouth,1,2,1,4,5,-,-,4,17,31,-,-,827,886,910,-,-,"197,564","201,207","211,240","218,908","218,908",94.51,94.51,94.51,94.51,94.51,88.2,88.2,88.2,88.2,88.2
Bergen,Alpine,37,5,2,5,5,-,-,2,1,7,-,-,"2,100","2,100","2,250",-,-,"3,214,460","3,382,360","3,194,699","3,379,432","3,379,432",91.19,91.19,91.19,91.19,91.19,87.4,87.4,87.4,87.4,87.4
Bergen,Bergenfield,38,5,6,8,23,-,-,2,4,12,-,-,"1,185","1,198","1,189",-,-,"309,826","324,980","327,955","334,099","334,099",96.22,96.22,96.22,96.22,96.22,70.28,70.28,70.28,70.28,70.28
Bergen,Carlstadt,36,9,3,1,2,-,-,0,0,0,-,-,"1,334","1,302","1,238",-,-,"313,916","337,047","362,226","382,383","382,383",95.31,95.31,95.31,95.31,95.31,56.48,56.48,56.48,56.48,56.48
Atlantic,Mullica,2,2,5,8,11,-,-,4,8,6,-,-,"1,213","1,398","1,207",-,-,"193,995","188,793","201,346","191,583","191,583",91.27,91.27,91.27,91.27,91.27,86.86,86.86,86.86,86.86,86.86
Atlantic,Pleasantville,2,2,8,150,6,-,-,9,9,145,-,-,"1,081","1,098","1,112",-,-,"119,898","106,788","102,082","96,126","96,126",92.27,92.27,92.27,92.27,92.27,53.33,53.33,53.33,53.33,53.33
Atlantic,Port Republic,9,2,0,0,0,-,-,0,0,0,-,-,"1,583","1,375","1,538",-,-,"259,947","265,621","262,450","248,743","248,743",93.47,93.47,93.47,93.47,93.47,92.29,92.29,92.29,92.29,92.29
Atlantic,Ventnor,2,2,0,7,18,-,-,0,1,7,-,-,"1,036","1,080","1,100",-,-,"359,560","352,590","340,110","324,757","324,757",58.65,58.65,58.65,58.65,58.65,59.95,59.95,59.95,59.95,59.95
Morris,Pequannock,40,11,5,16,23,-,-,8,10,17,-,-,"2,100","2,100","2,102",-,-,"378,265","392,536","395,557","394,831","394,831",95.25,95.25,95.25,95.25,95.25,82.58,82.58,82.58,82.58,82.58
Bergen,Closter,39,5,8,12,9,-,-,4,9,9,-,-,"1,860","1,861","1,928",-,-,"654,153","678,042","686,757","690,611","690,611",96.05,96.05,96.05,96.05,96.05,84.06,84.06,84.06,84.06,84.06
Bergen,Cresskill,37,9,7,10,20,-,-,7,7,12,-,-,"1,957","1,778","1,834",-,-,"669,614","695,695","718,911","736,925","736,925",96.4,96.4,96.4,96.4,96.4,79.48,79.48,79.48,79.48,79.48
Warren,Mansfield,23,5,0,0,6,-,-,0,0,3,-,-,968,992,982,-,-,"248,725","234,539","238,454","242,169","242,169",89.63,89.63,89.63,89.63,89.63,58.51,58.51,58.51,58.51,58.51
Warren,Oxford,24,5,0,2,1,-,-,1,2,1,-,-,797,888,875,-,-,"194,196","182,784","181,503","173,586","173,586",91.97,91.97,91.97,91.97,91.97,85.79,85.79,85.79,85.79,85.79
Warren,Knowlton,24,5,0,2,1,-,-,1,2,2,-,-,"1,025",984,918,-,-,"242,212","238,037","241,498","248,518","248,518",90.51,90.51,90.51,90.51,90.51,88.06,88.06,88.06,88.06,88.06
Warren,Lopatcong,23,7,34,7,28,-,-,41,30,5,-,-,"1,166","1,187","1,193",-,-,"223,692","218,755","224,943","232,367","232,367",91.7,91.7,91.7,91.7,91.7,77.01,77.01,77.01,77.01,77.01
Atlantic,Buena,2,2,4,7,9,-,-,2,3,7,-,-,843,861,851,-,-,"157,863","159,384","156,374","161,974","161,974",92.88,92.88,92.88,92.88,92.88,60.01,60.01,60.01,60.01,60.01
Atlantic,Buena Vista,2,2,6,6,8,-,-,7,7,5,-,-,"1,252","1,178","1,259",-,-,"209,128","199,463","201,672","194,932","194,932",92.62,92.62,92.62,92.62,92.62,87.08,87.08,87.08,87.08,87.08
Atlantic,Absecon,2,2,1,2,3,-,-,1,1,1,-,-,"1,302","1,312","1,312",-,-,"194,535","186,301","187,441","180,973","180,973",94.47,94.47,94.47,94.47,94.47,85.22,85.22,85.22,85.22,85.22
Atlantic,Atlantic City,2,2,8,122,12,-,-,33,12,15,-,-,850,844,844,-,-,"217,440","191,692","200,061","152,882","152,882",77.47,77.47,77.47,77.47,77.47,28.62,28.62,28.62,28.62,28.62
Bergen,Dumont,39,5,1,5,0,-,-,0,0,0,-,-,"1,243","1,205","1,194",-,-,"337,469","330,939","343,120","358,112","358,112",97.28,97.28,97.28,97.28,97.28,72.96,72.96,72.96,72.96,72.96
Bergen,Englewood,37,9,10,7,3,-,-,1,131,4,-,-,"1,309","1,335","1,415",-,-,"498,953","494,779","498,818","507,249","507,249",94.03,94.03,94.03,94.03,94.03,54.15,54.15,54.15,54.15,54.15
Bergen,Englewood Cliffs,37,9,16,18,19,-,-,14,12,11,-,-,"2,100","2,100","3,297",-,-,"1,168,412","1,198,925","1,214,853","1,235,731","1,235,731",94.8,94.8,94.8,94.8,94.8,89.53,89.53,89.53,89.53,89.53
Bergen,East Rutherford,36,9,5,2,2,-,-,115,4,0,-,-,"1,383","1,328","1,382",-,-,"309,731","368,841","338,884","353,007","353,007",94.38,94.38,94.38,94.38,94.38,40.22,40.22,40.22,40.22,40.22
Bergen,Elmwood Park,35,9,65,11,13,-,-,105,3,9,-,-,"1,402","1,410","1,473",-,-,"331,025","334,425","334,244","334,041","334,041",95.22,95.22,95.22,95.22,95.22,59.27,59.27,59.27,59.27,59.27
Bergen,Garfield,35,9,42,131,53,-,-,11,68,64,-,-,"1,182","1,196","1,203",-,-,"285,384","285,188","290,015","301,112","301,112",93.93,93.93,93.93,93.93,93.93,38.44,38.44,38.44,38.44,38.44
Bergen,Hackensack,37,5,29,101,4,-,-,44,231,19,-,-,"1,262","1,258","1,270",-,-,"258,666","269,367","291,536","253,723","253,723",93.64,93.64,93.64,93.64,93.64,35.22,35.22,35.22,35.22,35.22
Monmouth,Roosevelt,12,4,1,0,0,-,-,1,0,0,-,-,"1,463",925,591,-,-,"236,701","249,004","242,544","252,519","252,519",96.02,96.02,96.02,96.02,96.02,89.81,89.81,89.81,89.81,89.81
Bergen,Fairview,32,8,2,5,15,-,-,66,2,4,-,-,"1,150","1,141","1,184",-,-,"312,346","317,641","337,724","378,480","378,480",94.23,94.23,94.23,94.23,94.23,33.42,33.42,33.42,33.42,33.42
Monmouth,Sea Bright,13,6,5,0,0,-,-,0,0,0,-,-,"1,372","1,355","1,401",-,-,"563,515","532,320","489,826","503,620","503,620",65.4,65.4,65.4,65.4,65.4,54.67,54.67,54.67,54.67,54.67
Bergen,Franklin Lakes,40,5,13,18,80,-,-,13,8,9,-,-,"2,100","2,100","2,242",-,-,"1,071,016","1,094,335","1,131,201","1,117,016","1,117,016",95.53,95.53,95.53,95.53,95.53,89.17,89.17,89.17,89.17,89.17
Monmouth,Ocean Twp,11,4,42,22,113,-,-,22,40,25,-,-,"1,079","1,120","1,081",-,-,"424,035","429,542","440,453","448,135","448,135",91.94,91.94,91.94,91.94,91.94,67.54,67.54,67.54,67.54,67.54
Monmouth,Red Bank,11,4,142,4,1,-,-,12,9,4,-,-,"1,268","1,238","1,281",-,-,"356,389","357,289","361,763","361,711","361,711",91.6,91.6,91.6,91.6,91.6,46.99,46.99,46.99,46.99,46.99
Bergen,Harrington Park,39,5,2,0,2,-,-,2,3,0,-,-,"1,454","1,685","1,694",-,-,"564,920","575,111","585,930","598,175","598,175",98.03,98.03,98.03,98.03,98.03,91.9,91.9,91.9,91.9,91.9
Monmouth,Monmouth Beach,13,6,25,44,11,-,-,9,10,6,-,-,"1,743","1,660","1,810",-,-,"611,883","631,091","626,873","662,274","662,274",75.42,75.42,75.42,75.42,75.42,82.73,82.73,82.73,82.73,82.73
Monmouth,Neptune City,11,4,11,6,16,-,-,0,0,12,-,-,"1,200","1,161","1,313",-,-,"235,049","235,121","238,426","248,977","248,977",92.26,92.26,92.26,92.26,92.26,59.49,59.49,59.49,59.49,59.49
Warren,Independence,24,5,2,4,3,-,-,4,0,4,-,-,"1,142","1,153","1,200",-,-,"261,813","253,411","254,801","259,297","259,297",96.09,96.09,96.09,96.09,96.09,80.08,80.08,80.08,80.08,80.08
Monmouth,Marlboro,13,6,39,6,7,-,-,64,32,14,-,-,"1,765","1,777","1,884",-,-,"486,178","496,241","506,891","514,101","514,101",96.76,96.76,96.76,96.76,96.76,95.43,95.43,95.43,95.43,95.43
Warren,Hope,24,5,0,0,0,-,-,1,0,1,-,-,"1,240","1,113","1,555",-,-,"259,883","264,879","259,772","255,168","255,168",91.59,91.59,91.59,91.59,91.59,88.39,88.39,88.39,88.39,88.39
Monmouth,Middletown,13,"4, 6",58,57,74,-,-,38,51,51,-,-,"1,264","1,267","1,253",-,-,"388,672","395,969","396,560","412,014","412,014",96.01,96.01,96.01,96.01,96.01,84.73,84.73,84.73,84.73,84.73
Monmouth,Long Branch,11,6,79,130,27,-,-,226,79,71,-,-,"1,220","1,221","1,223",-,-,"409,079","415,986","422,772","436,352","436,352",82.94,82.94,82.94,82.94,82.94,42,42,42,42,42
Monmouth,Manasquan,30,4,71,61,52,-,-,31,66,50,-,-,"1,283","1,254","1,324",-,-,"594,817","599,057","618,112","644,892","644,892",67.83,67.83,67.83,67.83,67.83,72.83,72.83,72.83,72.83,72.83
Atlantic,Hamilton,2,2,42,39,35,-,-,41,37,25,-,-,"1,330","1,331","1,320",-,-,"185,505","178,923","172,552","164,417","164,417",93.08,93.08,93.08,93.08,93.08,76.6,76.6,76.6,76.6,76.6
Atlantic,Longport,2,2,35,37,28,-,-,23,25,45,-,-,"1,659","1,741","1,795",-,-,"1,158,334","1,140,557","1,147,033","1,141,595","1,141,595",28.38,28.38,28.38,28.38,28.38,85.53,85.53,85.53,85.53,85.53
Atlantic,Somers Point,2,2,5,1,0,-,-,6,0,1,-,-,995,963,972,-,-,"214,310","214,511","207,008","204,086","204,086",83.78,83.78,83.78,83.78,83.78,56.43,56.43,56.43,56.43,56.43
Monmouth,Sea Girt,30,4,19,13,16,-,-,15,15,12,-,-,"1,919","2,100","2,292",-,-,"1,610,107","1,669,454","1,760,013","1,761,166","1,761,166",63.75,63.75,63.75,63.75,63.75,89.91,89.91,89.91,89.91,89.91
Bergen,Allendale,40,5,9,38,6,-,-,16,6,9,-,-,"2,100","1,301","1,690",-,-,"663,973","672,940","659,917","679,516","679,516",93.63,93.63,93.63,93.63,93.63,85.87,85.87,85.87,85.87,85.87
Bergen,Bogota,37,5,0,45,3,-,-,0,1,0,-,-,"1,218","1,259","1,205",-,-,"290,556","285,163","288,439","293,671","293,671",96.02,96.02,96.02,96.02,96.02,67.69,67.69,67.69,67.69,67.69
Bergen,Cliffside Park,36,9,83,52,55,-,-,16,30,73,-,-,"1,277","1,281","1,245",-,-,"372,147","371,854","380,545","391,366","391,366",93.28,93.28,93.28,93.28,93.28,48.83,48.83,48.83,48.83,48.83
Bergen,Demarest,39,5,9,12,15,-,-,6,9,5,-,-,"2,100","2,100","3,331",-,-,"820,391","866,906","872,917","906,277","906,277",96.26,96.26,96.26,96.26,96.26,91.55,91.55,91.55,91.55,91.55
Bergen,Ho-Ho-Kus,40,5,10,6,5,-,-,1,5,1,-,-,"1,994","2,100","2,243",-,-,"810,117","824,724","855,959","863,450","863,450",95.83,95.83,95.83,95.83,95.83,92.08,92.08,92.08,92.08,92.08
Bergen,Haworth,39,5,1,8,4,-,-,2,1,3,-,-,"2,100","2,100","3,214",-,-,"704,875","723,433","717,589","704,767","704,767",97.71,97.71,97.71,97.71,97.71,94.5,94.5,94.5,94.5,94.5
Bergen,Leonia,37,9,0,3,0,-,-,0,2,0,-,-,"1,453","1,477","1,478",-,-,"458,312","455,610","477,641","485,887","485,887",95.8,95.8,95.8,95.8,95.8,65.07,65.07,65.07,65.07,65.07
Bergen,Lodi,38,5,0,8,11,-,-,4,3,4,-,-,"1,160","1,169","1,172",-,-,"323,401","338,444","348,126","338,433","338,433",93.52,93.52,93.52,93.52,93.52,40.27,40.27,40.27,40.27,40.27
Bergen,Lyndhurst,36,9,270,4,10,-,-,203,268,6,-,-,"1,265","1,242","1,202",-,-,"315,002","301,472","318,158","361,227","361,227",94.88,94.88,94.88,94.88,94.88,55.06,55.06,55.06,55.06,55.06
Bergen,Maywood,38,5,2,4,3,-,-,0,0,3,-,-,"1,257","1,281","1,328",-,-,"342,100","350,574","353,862","368,802","368,802",96.82,96.82,96.82,96.82,96.82,67.28,67.28,67.28,67.28,67.28
