County  ,Municipality  ,LD  ,CD  ,% Pop Change 2013,% Pop Change 2014,% Pop Change 2015,% Pop Change 2016,% Pop Change 2017,25+ 2013,25+ 2014,25+ 2015,25+ 2016,25+ 2017,% College Grad 2013,% College Grad 2014,% College Grad 2015,% College Grad 2016,% College Grad 2017,% Foreign Born 2013,% Foreign Born 2014,% Foreign Born 2015,% Foreign Born 2016,% Foreign Born 2017,% AA 2013,% AA 2014,% AA 2015,% AA 2016,% AA 2017,% Asian 2013,,2015,2016,2017,% Hisp 2013,2014,2015,2016,2017
Essex,Fairfield,26,11,0.58,1.14,1.5,1.15,1.98,"5,202","1,395","5,377",-,-,38.22,74.41,36.84,-,-,11.16,7.66,9.29,-,-,0.68,0.68,0.68,0.68,0.68,2.53,2.53,2.53,2.53,2.53,5.14,5.14,5.14,5.14,5.14
Burlington,Mansfield,8,3,0.23,0.22,0.35,0.55,0.39,"6,090","6,335","6,524",-,-,43.92,45.49,44.57,-,-,13.82,14.82,14.92,-,-,10.42,10.42,10.42,10.42,10.42,7.69,7.69,7.69,7.69,7.69,5.01,5.01,5.01,5.01,5.01
Burlington,Hainesport,8,3,0.11,-0.29,-0.93,-0.57,-0.85,"4,318","4,384","4,287",-,-,28.93,33.26,32.77,-,-,7.39,7.04,6.4,-,-,7.5,7.5,7.5,7.5,7.5,4.08,4.08,4.08,4.08,4.08,5.07,5.07,5.07,5.07,5.07
Essex,East Orange,34,10,0.43,1.26,1.06,0.81,1.72,"42,402","19,612","43,210",-,-,16.03,18.85,17.16,-,-,23.74,35.83,25.3,-,-,88.51,88.51,88.51,88.51,88.51,0.72,0.72,0.72,0.72,0.72,7.93,7.93,7.93,7.93,7.93
Monmouth,Little Silver,13,4,-0.74,-0.54,-0.62,-0.92,-0.71,"3,846","3,918","3,908",-,-,62.74,63.63,64.94,-,-,3.72,4.16,5.14,-,-,0.29,0.29,0.29,0.29,0.29,1.75,1.75,1.75,1.75,1.75,3.01,3.01,3.01,3.01,3.01
Sussex,Franklin,24,5,-2.14,-2.76,-3.77,-4.6,-5.35,"3,570","3,550","3,535",-,-,19.41,20.99,19.01,-,-,9.05,8.45,9,-,-,2.18,2.18,2.18,2.18,2.18,1.74,1.74,1.74,1.74,1.74,7.83,7.83,7.83,7.83,7.83
Sussex,Hampton Twp,24,5,-2.41,-3.1,-4.27,-5.18,-5.77,"3,635","3,672","3,760",-,-,29.57,30.72,29.73,-,-,4.02,5.72,7.06,-,-,0.83,0.83,0.83,0.83,0.83,1.19,1.19,1.19,1.19,1.19,3.85,3.85,3.85,3.85,3.85
Sussex,Byram,24,11,-2.25,-3.04,-3.82,-4.1,-4.4,"5,532","5,527","5,544",-,-,39.84,39.97,41.45,-,-,6.94,7.14,7.22,-,-,1.47,1.47,1.47,1.47,1.47,2.14,2.14,2.14,2.14,2.14,4.99,4.99,4.99,4.99,4.99
Sussex,Sparta,24,11,-1.41,-1.97,-2.85,-4.07,-4.64,"12,745","12,418","12,569",-,-,55.8,56.21,57.33,-,-,8.07,8.63,8.77,-,-,1,1,1,1,1,2.49,2.49,2.49,2.49,2.49,5.34,5.34,5.34,5.34,5.34
Burlington,Moorestown,7,3,-0.3,-0.64,-0.78,-0.78,-0.9,"13,873","13,893","13,890",-,-,57.95,59.4,60.39,-,-,7.7,7.66,8.1,-,-,6.42,6.42,6.42,6.42,6.42,6,6,6,6,6,3.48,3.48,3.48,3.48,3.48
Sussex,Wantage,24,5,-1.02,-1.8,-2.5,-3.17,-3.73,"7,758","7,891","7,991",-,-,24.62,25.35,25.97,-,-,4.82,4.89,5.12,-,-,1.21,1.21,1.21,1.21,1.21,0.99,0.99,0.99,0.99,0.99,5.23,5.23,5.23,5.23,5.23
Burlington,Pemberton Twp,8,3,0.01,-0.32,-0.51,-1.24,-2.19,"18,166","18,375","18,326",-,-,13.12,13.83,14.45,-,-,7.92,7.97,7.84,-,-,20.49,20.49,20.49,20.49,20.49,2.89,2.89,2.89,2.89,2.89,11.92,11.92,11.92,11.92,11.92
Bergen,Teterboro,36,9,5.97,5.97,2.99,2.99,2.99,57,44,70,-,-,29.82,20.45,10,-,-,29.35,14.29,18.82,-,-,4.48,4.48,4.48,4.48,4.48,2.99,2.99,2.99,2.99,2.99,35.82,35.82,35.82,35.82,35.82
Sussex,Hopatcong,24,11,-2.25,-3.06,-4.21,-5.04,-5.61,"10,723","10,736","10,758",-,-,27.88,30.48,29.88,-,-,11.14,11.23,10.53,-,-,2.91,2.91,2.91,2.91,2.91,2.25,2.25,2.25,2.25,2.25,11.32,11.32,11.32,11.32,11.32
Burlington,Chesterfield,12,3,0.79,-0.08,-1.65,-2.71,-1.45,"4,136","4,199","4,424",-,-,43.57,44.61,44.24,-,-,9.27,10.27,12.19,-,-,29.12,29.12,29.12,29.12,29.12,8.35,8.35,8.35,8.35,8.35,13.08,13.08,13.08,13.08,13.08
Sussex,Newton,24,5,-0.69,-1.49,-0.23,-1.11,-1.71,"5,388","5,461","5,617",-,-,22.87,23.11,22.65,-,-,15.18,15.15,13.32,-,-,4.88,4.88,4.88,4.88,4.88,2.98,2.98,2.98,2.98,2.98,12.34,12.34,12.34,12.34,12.34
Warren,Phillipsburg,23,7,-1.97,-2.54,-2.91,-3.31,-3.28,"9,602","10,029","10,053",-,-,14.42,15.8,16.58,-,-,8.12,10.02,11.06,-,-,7.49,7.49,7.49,7.49,7.49,1.53,1.53,1.53,1.53,1.53,11.82,11.82,11.82,11.82,11.82
Warren,Hardwick,24,5,-1.47,-1.83,-1.71,-2,-3.13,"1,140","1,065","1,075",-,-,34.21,30.52,32.56,-,-,8.21,6.99,6.99,-,-,0.94,0.94,0.94,0.94,0.94,0.65,0.65,0.65,0.65,0.65,3.95,3.95,3.95,3.95,3.95
Ocean,Lakehurst,10,4,1.73,2.22,1.51,1.43,1.62,"1,662","1,630","1,621",-,-,13.9,13.74,14.74,-,-,8.31,8.82,7.42,-,-,10.81,10.81,10.81,10.81,10.81,2.11,2.11,2.11,2.11,2.11,13.07,13.07,13.07,13.07,13.07
Warren,Harmony,23,7,-2.47,-3.82,-4.16,-5.44,-5.51,"1,875","1,853","1,837",-,-,23.89,23.26,23.3,-,-,2.15,1.91,2.01,-,-,0.67,0.67,0.67,0.67,0.67,0.19,0.19,0.19,0.19,0.19,1.31,1.31,1.31,1.31,1.31
Ocean,Lacey,9,3,1.36,2.05,2.92,3.35,4.25,"19,465","19,697","20,020",-,-,25.42,25.67,25.61,-,-,3.39,3.44,3.2,-,-,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,4.74,4.74,4.74,4.74,4.74
Warren,Frelinghuysen,24,5,-1.17,-1.88,-1.88,-1.39,-1.35,"1,665","1,739","1,780",-,-,35.08,35.02,35.45,-,-,5.16,4.17,4.15,-,-,0.63,0.63,0.63,0.63,0.63,0.54,0.54,0.54,0.54,0.54,2.56,2.56,2.56,2.56,2.56
Union,Clark,22,7,2.9,4.77,5.28,7.31,9.17,"10,746","10,923","11,102",-,-,38.11,38.98,39.22,-,-,14.06,13.06,14.1,-,-,0.84,0.84,0.84,0.84,0.84,3.71,3.71,3.71,3.71,3.71,7.5,7.5,7.5,7.5,7.5
Ocean,Jackson,12,4,2.23,2.9,2.84,3.42,4.04,"38,464","38,253","38,297",-,-,30.9,31.18,32.06,-,-,7.71,8.4,8.31,-,-,4.86,4.86,4.86,4.86,4.86,2.95,2.95,2.95,2.95,2.95,7.83,7.83,7.83,7.83,7.83
Warren,Greenwich,23,7,-1.82,-2.45,-2.73,-3.22,-3.15,"3,443","3,428","3,456",-,-,49.78,51.9,49.94,-,-,9.99,9.24,10.93,-,-,6.36,6.36,6.36,6.36,6.36,6.16,6.16,6.16,6.16,6.16,6.37,6.37,6.37,6.37,6.37
Union,Fanwood,22,12,2.62,4.63,4.55,5.22,6.7,"4,999","5,073","4,910",-,-,59.35,59.53,60.75,-,-,9.36,13.79,11.24,-,-,5.3,5.3,5.3,5.3,5.3,6.75,6.75,6.75,6.75,6.75,6.26,6.26,6.26,6.26,6.26
Ocean,Island Heights,10,3,0.48,1.2,-0.3,-1.55,-0.36,"1,260","1,273","1,216",-,-,44.84,49.33,50.25,-,-,4.82,4.5,3.96,-,-,0.24,0.24,0.24,0.24,0.24,1.37,1.37,1.37,1.37,1.37,2.39,2.39,2.39,2.39,2.39
Warren,Alpha,23,7,-1.82,-2.41,-2.79,-3.08,-3.04,"1,680","1,647","1,618",-,-,16.07,15.18,18.05,-,-,5.51,3.97,4.18,-,-,2.41,2.41,2.41,2.41,2.41,1.52,1.52,1.52,1.52,1.52,5.28,5.28,5.28,5.28,5.28
Warren,Blairstown,24,5,-1.61,-2.23,-2.48,-2.92,-2.66,"4,094","4,063","4,175",-,-,32.49,29.41,32.41,-,-,4.31,4.11,3.93,-,-,1.12,1.12,1.12,1.12,1.12,1.14,1.14,1.14,1.14,1.14,3.79,3.79,3.79,3.79,3.79
Ocean,Bay Head,10,4,2.48,3.41,0.41,1.03,1.34,813,810,780,-,-,62.48,63.58,58.46,-,-,1.87,1.6,3.63,-,-,0.52,0.52,0.52,0.52,0.52,0.72,0.72,0.72,0.72,0.72,1.03,1.03,1.03,1.03,1.03
Gloucester,Harrison Twp,5,2,2.45,3.23,4.57,4.55,4.82,"7,867","8,075","8,336",-,-,46.73,47.42,45.67,-,-,5.19,3.76,2.97,-,-,3.83,3.83,3.83,3.83,3.83,3.38,3.38,3.38,3.38,3.38,3.01,3.01,3.01,3.01,3.01
Mercer,Hopewell Twp,15,12,6.18,6.33,7.52,7.04,5.55,"12,667","13,010","12,992",-,-,64.57,69.23,66.81,-,-,12.97,11.04,10.76,-,-,2.1,2.1,2.1,2.1,2.1,8.89,8.89,8.89,8.89,8.89,3.31,3.31,3.31,3.31,3.31
Gloucester,Greenwich,3,1,-0.55,-1.16,-0.86,-0.98,-1.08,"3,656","3,675","3,673",-,-,18.19,20.63,19.93,-,-,4.96,3.55,4.11,-,-,4,4,4,4,4,0.76,0.76,0.76,0.76,0.76,2.35,2.35,2.35,2.35,2.35
Ocean,Beach Haven,9,2,0.6,0.85,0.17,0.26,1.03,895,865,854,-,-,47.15,50.75,53.04,-,-,5.48,2.19,3.03,-,-,0.34,0.34,0.34,0.34,0.34,0.77,0.77,0.77,0.77,0.77,9.91,9.91,9.91,9.91,9.91
Mercer,Hopewell,15,12,-0.1,-0.16,0.36,0.21,1.35,"1,342","1,367","1,335",-,-,66.99,68.69,67.12,-,-,9.86,9.52,9.59,-,-,1.51,1.51,1.51,1.51,1.51,0.68,0.68,0.68,0.68,0.68,3.69,3.69,3.69,3.69,3.69
Mercer,Hamilton,14,4,0.51,0.76,0.64,-0.07,0.69,"63,069","63,134","62,989",-,-,26.39,27.01,27.67,-,-,13.83,14.85,15.05,-,-,11.78,11.78,11.78,11.78,11.78,3.29,3.29,3.29,3.29,3.29,10.87,10.87,10.87,10.87,10.87
Gloucester,Franklin Twp,3,2,-0.47,-0.7,-0.9,-1.5,-1.91,"11,391","11,609","11,634",-,-,19.5,18.68,20.94,-,-,4.97,4.75,4.89,-,-,7.18,7.18,7.18,7.18,7.18,1.27,1.27,1.27,1.27,1.27,4.49,4.49,4.49,4.49,4.49
Mercer,East Windsor,14,12,1.35,1.27,1.52,0.88,1.97,"18,875","18,829","18,716",-,-,45.58,47.2,47.89,-,-,31.34,32.43,31.01,-,-,8.62,8.62,8.62,8.62,8.62,17.66,17.66,17.66,17.66,17.66,19.64,19.64,19.64,19.64,19.64
Gloucester,East Greenwich,3,"1, 2",6.78,7.71,8.63,8.8,10.1,"6,295","6,469","6,599",-,-,45.91,46.2,45.43,-,-,5.04,4.79,4,-,-,5.86,5.86,5.86,5.86,5.86,3.61,3.61,3.61,3.61,3.61,3.02,3.02,3.02,3.02,3.02
Ocean,Eagleswood,9,2,1.12,0.87,0.25,0.06,0.5,"1,051","1,073","1,083",-,-,20.27,24.23,21.79,-,-,3.91,3.09,2.44,-,-,0.87,0.87,0.87,0.87,0.87,0.62,0.62,0.62,0.62,0.62,3.37,3.37,3.37,3.37,3.37
Ocean,Harvey Cedars,9,2,1.78,2.08,1.19,0.89,1.48,437,431,370,-,-,66.13,67.75,66.76,-,-,1.81,2.09,2.4,-,-,0.59,0.59,0.59,0.59,0.59,0.3,0.3,0.3,0.3,0.3,0.89,0.89,0.89,0.89,0.89
Ocean,Beachwood,9,3,1.15,1.88,1.53,1.37,1.84,"7,138","7,279","7,308",-,-,22.96,22.16,22.1,-,-,5.29,3.96,4.3,-,-,1.79,1.79,1.79,1.79,1.79,1.5,1.5,1.5,1.5,1.5,8.13,8.13,8.13,8.13,8.13
Ocean,Brick,10,3,1.01,1.12,-0.08,-0.01,0.59,"53,856","54,134","54,299",-,-,25.53,26.48,27.81,-,-,5.98,6.48,6.61,-,-,2,2,2,2,2,1.56,1.56,1.56,1.56,1.56,7.06,7.06,7.06,7.06,7.06
Gloucester,Mantua,5,2,-0.71,-0.44,-1.07,-0.78,-1.26,"10,269","10,365","10,455",-,-,29.11,30.29,30.21,-,-,3.37,2.37,2.1,-,-,2.5,2.5,2.5,2.5,2.5,1.1,1.1,1.1,1.1,1.1,2.95,2.95,2.95,2.95,2.95
Essex,Orange,34,10,1,2.65,1.42,1.49,2.25,"19,771","21,077","20,054",-,-,18.52,44.08,20.36,-,-,36.61,18.65,38.16,-,-,71.83,71.83,71.83,71.83,71.83,1.51,1.51,1.51,1.51,1.51,21.67,21.67,21.67,21.67,21.67
Middlesex,Dunellen,22,12,1.65,2.63,2.82,2.03,2.49,"4,918","5,018","4,965",-,-,30.2,24.45,28.36,-,-,18.99,20.58,24.05,-,-,8.62,8.62,8.62,8.62,8.62,4.51,4.51,4.51,4.51,4.51,26.75,26.75,26.75,26.75,26.75
Middlesex,Cranbury,14,12,1.37,1.92,2.62,2.07,2.26,"2,527","2,568","2,642",-,-,68.54,62.73,64.04,-,-,15.42,14.47,17.24,-,-,3.45,3.45,3.45,3.45,3.45,13.74,13.74,13.74,13.74,13.74,2.57,2.57,2.57,2.57,2.57
Mercer,West Windsor,15,12,4.42,4.79,4.48,3.84,4.88,"18,356","18,711","18,664",-,-,78.44,79.82,80.54,-,-,37.11,38.22,40.19,-,-,3.67,3.67,3.67,3.67,3.67,37.71,37.71,37.71,37.71,37.71,4.47,4.47,4.47,4.47,4.47
Gloucester,Deptford,5,1,0.15,-0.26,0.03,0.17,0.07,"21,462","21,476","21,677",-,-,23.32,21.85,21.36,-,-,7.16,7.98,7.94,-,-,12.16,12.16,12.16,12.16,12.16,4.45,4.45,4.45,4.45,4.45,5.99,5.99,5.99,5.99,5.99
Essex,West Orange,27,"10, 11",1.02,1.71,2.56,2.26,4.82,"31,964","32,405","32,772",-,-,47.68,48.3,48.39,-,-,28.12,28.97,28.14,-,-,26.58,26.58,26.58,26.58,26.58,7.96,7.96,7.96,7.96,7.96,16.2,16.2,16.2,16.2,16.2
Mercer,Robbinsville,14,4,3.03,3.45,3.91,4.69,8.17,"9,320","9,385","9,512",-,-,55.91,56.26,56.64,-,-,17.62,14.94,13.62,-,-,3.12,3.12,3.12,3.12,3.12,12.67,12.67,12.67,12.67,12.67,4.13,4.13,4.13,4.13,4.13
Essex,West Caldwell,26,11,1.01,2.52,2.8,1.57,2.44,"7,509","7,744","7,745",-,-,48.41,50.18,48.44,-,-,11.15,11.21,13.19,-,-,1.26,1.26,1.26,1.26,1.26,3.91,3.91,3.91,3.91,3.91,4.86,4.86,4.86,4.86,4.86
Essex,South Orange,27,10,0.49,1.01,1.12,0.75,4.96,"9,749","9,594","9,573",-,-,67.62,67.89,68.52,-,-,16.36,16.36,16.22,-,-,28.66,28.66,28.66,28.66,28.66,5.16,5.16,5.16,5.16,5.16,6.13,6.13,6.13,6.13,6.13
Mercer,Pennington,15,12,0.08,-0.04,0.5,-0.66,0.15,"1,758","1,799","1,818",-,-,71.79,70.09,69.8,-,-,7.33,8.93,9.66,-,-,1.82,1.82,1.82,1.82,1.82,1.78,1.78,1.78,1.78,1.78,1.43,1.43,1.43,1.43,1.43
Warren,Pohatcong,23,7,-1.71,-2.4,-2.91,-3.2,-3.23,"2,239","2,123","2,105",-,-,24.34,24.96,22.71,-,-,2.17,2.77,3.05,-,-,1.59,1.59,1.59,1.59,1.59,0.9,0.9,0.9,0.9,0.9,3.47,3.47,3.47,3.47,3.47
Warren,Washington,23,5,-0.02,0.08,0.57,0.48,0.98,"4,144","4,139","4,359",-,-,23.91,23.1,26.82,-,-,12.26,12.67,14.01,-,-,6.01,6.01,6.01,6.01,6.01,3.42,3.42,3.42,3.42,3.42,8.5,8.5,8.5,8.5,8.5
Warren,White,24,5,-1.74,-2.31,-2.85,-2.91,-2.77,"3,821","3,945","3,717",-,-,17.82,15.79,15.25,-,-,6.47,5.77,5.8,-,-,2.03,2.03,2.03,2.03,2.03,0.76,0.76,0.76,0.76,0.76,2.74,2.74,2.74,2.74,2.74
Morris,Chatham,21,11,0.86,0.67,0.35,0.17,-0.38,"5,586","5,603","5,603",-,-,75.73,74.14,72.12,-,-,12.63,12.99,13.71,-,-,0.99,0.99,0.99,0.99,0.99,4.85,4.85,4.85,4.85,4.85,5.1,5.1,5.1,5.1,5.1
Gloucester,Woodbury,5,1,-0.94,-1.55,-1.51,-2.08,-2.51,"6,821","6,787","6,663",-,-,28.05,26.58,29.52,-,-,4.86,5.8,6.42,-,-,24.91,24.91,24.91,24.91,24.91,1.28,1.28,1.28,1.28,1.28,10.66,10.66,10.66,10.66,10.66
Morris,Chatham Twp,27,11,1.89,1.56,1.27,0.13,-0.16,"7,092","7,170","7,187",-,-,73.72,73.39,75.08,-,-,13.48,13.35,13.41,-,-,0.75,0.75,0.75,0.75,0.75,6.36,6.36,6.36,6.36,6.36,3.34,3.34,3.34,3.34,3.34
Hudson,West New York,32,8,4.86,5.81,7.36,7.31,9.09,"35,102","36,333","36,744",-,-,25.23,24.35,24.28,-,-,59.36,57.69,59.31,-,-,4.6,4.6,4.6,4.6,4.6,6.01,6.01,6.01,6.01,6.01,78.08,78.08,78.08,78.08,78.08
Morris,Chester Twp,25,7,1.4,1.37,1.59,1.06,0.98,"5,030","5,100","5,208",-,-,68.75,68.35,71.6,-,-,7.19,11.67,12.05,-,-,1.05,1.05,1.05,1.05,1.05,3.5,3.5,3.5,3.5,3.5,4.35,4.35,4.35,4.35,4.35
Morris,Denville,25,11,1.42,1.17,1.1,0.6,1.84,"11,965","12,015","12,047",-,-,47.71,49.85,50.4,-,-,10.84,11.03,10.38,-,-,1.42,1.42,1.42,1.42,1.42,6.52,6.52,6.52,6.52,6.52,5.31,5.31,5.31,5.31,5.31
Hunterdon,Milford,23,7,-1.38,-1.78,-2.35,-3.57,-3.57,772,811,836,-,-,36.01,32.8,34.57,-,-,3.16,2.91,2.76,-,-,0.24,0.24,0.24,0.24,0.24,0.97,0.97,0.97,0.97,0.97,2.19,2.19,2.19,2.19,2.19
Morris,East Hanover,27,11,1.34,1.18,1,0.64,0.69,"8,061","8,184","8,075",-,-,40.19,39.53,38.61,-,-,21.69,20.81,22.73,-,-,0.83,0.83,0.83,0.83,0.83,11.92,11.92,11.92,11.92,11.92,5.38,5.38,5.38,5.38,5.38
Ocean,Point Pleasant,30,"3, 4",0.7,1.48,0.71,0.83,1.41,"12,711","12,806","12,771",-,-,37.55,39.69,40.8,-,-,3.14,2.95,3.64,-,-,0.41,0.41,0.41,0.41,0.41,0.72,0.72,0.72,0.72,0.72,5.08,5.08,5.08,5.08,5.08
Cumberland,Downe,1,2,-1.2,-2.08,-4.16,-3.72,-3.85,985,"1,045","1,076",-,-,13.91,10.62,11.34,-,-,0.72,2.13,2.01,-,-,2.59,2.59,2.59,2.59,2.59,0.25,0.25,0.25,0.25,0.25,3.85,3.85,3.85,3.85,3.85
Morris,Hanover,27,11,3.73,6.91,5.08,7.1,6.92,"9,871","9,978","9,919",-,-,49.39,49.17,50.8,-,-,18.23,17.06,16.51,-,-,1.01,1.01,1.01,1.01,1.01,10.8,10.8,10.8,10.8,10.8,4.59,4.59,4.59,4.59,4.59
Ocean,Plumsted,12,4,1.21,1.94,1.09,1.29,1.45,"5,519","5,638","5,655",-,-,19.61,20.22,18.66,-,-,4.92,5.09,3.63,-,-,1.81,1.81,1.81,1.81,1.81,0.87,0.87,0.87,0.87,0.87,5.91,5.91,5.91,5.91,5.91
Essex,Essex Fells,27,11,0.28,-0.85,2.18,0.57,1.14,"1,361","43,065","1,449",-,-,72.01,16.18,76.95,-,-,7.38,24.49,7.43,-,-,1.09,1.09,1.09,1.09,1.09,2.18,2.18,2.18,2.18,2.18,1.99,1.99,1.99,1.99,1.99
Morris,Harding,27,11,0.91,0.73,1.77,0.78,0.91,"2,645","2,663","2,753",-,-,71.27,72.85,72.76,-,-,8.81,10.93,11.99,-,-,0.99,0.99,0.99,0.99,0.99,2.66,2.66,2.66,2.66,2.66,3.49,3.49,3.49,3.49,3.49
Gloucester,Elk,3,2,0.78,0.43,-1.42,-2.04,-0.97,"3,004","2,888","2,804",-,-,26.86,28.43,26.36,-,-,1.82,1.51,1.91,-,-,14.78,14.78,14.78,14.78,14.78,0.64,0.64,0.64,0.64,0.64,5.1,5.1,5.1,5.1,5.1
Ocean,Point Pleasant Beach,10,4,-0.49,-0.54,-2.42,-2.59,-2.59,"3,206","3,311","3,331",-,-,41.17,41.86,43.53,-,-,6.11,8.53,7.69,-,-,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,9.02,9.02,9.02,9.02,9.02
Gloucester,Pitman,4,2,-0.75,-1.29,-1.25,-1.52,-1.83,"6,395","6,274","6,206",-,-,34.76,33.3,33.06,-,-,3.67,3.35,3.97,-,-,1.14,1.14,1.14,1.14,1.14,0.62,0.62,0.62,0.62,0.62,2.46,2.46,2.46,2.46,2.46
Camden,Audubon Park,5,1,-0.59,-1.37,-1.17,-1.17,-1.08,834,858,856,-,-,8.99,10.61,10.75,-,-,1.14,1.05,1.19,-,-,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,2.05,2.05,2.05,2.05,2.05
Camden,Lawnside,5,1,-0.48,-1.22,-0.88,-0.85,-0.85,"1,898","1,981","2,110",-,-,26.92,31.65,28.53,-,-,6.64,6.51,4.65,-,-,88.83,88.83,88.83,88.83,88.83,1.43,1.43,1.43,1.43,1.43,4.38,4.38,4.38,4.38,4.38
Cape May,Cape May,1,2,-1.36,-2,-2.58,-2.97,-3.52,"2,416","2,509","2,349",-,-,37.46,40.65,43.59,-,-,3.1,2.85,3.57,-,-,4.85,4.85,4.85,4.85,4.85,0.67,0.67,0.67,0.67,0.67,8.62,8.62,8.62,8.62,8.62
Hudson,Weehawken,33,8,6.39,10.48,11.84,20.58,22.21,"9,755","10,011","10,229",-,-,51.29,52.56,53.85,-,-,37.49,37.52,37.36,-,-,4.83,4.83,4.83,4.83,4.83,8.16,8.16,8.16,8.16,8.16,40.27,40.27,40.27,40.27,40.27
Middlesex,Jamesburg,14,12,1.34,1.79,1.93,2.11,2.59,"4,038","3,984","3,921",-,-,19.59,20.66,22.19,-,-,18.23,17.96,17.93,-,-,8.84,8.84,8.84,8.84,8.84,4.53,4.53,4.53,4.53,4.53,22.38,22.38,22.38,22.38,22.38
Hudson,Union City,33,8,2.7,3.33,4.06,4.28,5.92,"44,067","45,286","46,184",-,-,16.35,17.39,17.03,-,-,57.44,57.76,58.75,-,-,5.25,5.25,5.25,5.25,5.25,2.39,2.39,2.39,2.39,2.39,84.71,84.71,84.71,84.71,84.71
Middlesex,Helmetta,18,12,1.33,1.84,2.43,1.61,2.07,"1,681","1,674","1,673",-,-,35.04,34.59,35.92,-,-,15.51,15.77,19.53,-,-,3.95,3.95,3.95,3.95,3.95,4.87,4.87,4.87,4.87,4.87,7.53,7.53,7.53,7.53,7.53
Ocean,Lavallette,10,3,-0.48,-2.24,-3.63,-2.29,-1.39,"1,884","1,731","1,772",-,-,35.88,39.34,38.66,-,-,0.79,1.43,2.99,-,-,0.11,0.11,0.11,0.11,0.11,0.53,0.53,0.53,0.53,0.53,2.99,2.99,2.99,2.99,2.99
Hunterdon,Bloomsbury,23,7,-1.26,-1.61,-2.53,-2.87,-2.76,523,512,495,-,-,43.21,35.94,36.97,-,-,5.94,8.32,8.47,-,-,1.03,1.03,1.03,1.03,1.03,1.84,1.84,1.84,1.84,1.84,4.02,4.02,4.02,4.02,4.02
Ocean,Little Egg Harbor,9,2,1.39,1.65,2.83,3.75,5.54,"14,549","14,698","14,771",-,-,19.96,20.28,22.23,-,-,3.97,3.73,3.92,-,-,1.35,1.35,1.35,1.35,1.35,1.24,1.24,1.24,1.24,1.24,5.22,5.22,5.22,5.22,5.22
Middlesex,Milltown,17,12,1.49,2.02,2.26,3.47,3.9,"5,190","5,293","5,128",-,-,40.1,44.21,43.7,-,-,10.17,11.26,13.25,-,-,1.23,1.23,1.23,1.23,1.23,3.37,3.37,3.37,3.37,3.37,6.46,6.46,6.46,6.46,6.46
Hunterdon,Alexandria,23,7,-0.67,-0.91,-1.7,-3.12,-2.69,"3,235","3,235","3,271",-,-,49.15,46.49,48.95,-,-,4.86,5.11,6.17,-,-,2,2,2,2,2,1.82,1.82,1.82,1.82,1.82,3.22,3.22,3.22,3.22,3.22
Ocean,Long Beach,9,2,0.36,0.29,-0.79,-0.03,0.46,"2,643","2,610","2,687",-,-,54.29,52.91,52.66,-,-,3.92,2.8,3.6,-,-,0.26,0.26,0.26,0.26,0.26,0.49,0.49,0.49,0.49,0.49,4.13,4.13,4.13,4.13,4.13
Middlesex,Metuchen,18,6,1.34,1.86,2.3,2.19,5.71,"9,770","9,762","9,773",-,-,57.26,60.77,60.82,-,-,18.19,18.97,20.12,-,-,4.88,4.88,4.88,4.88,4.88,12.96,12.96,12.96,12.96,12.96,6.89,6.89,6.89,6.89,6.89
Ocean,Manchester,10,4,0.63,1.13,1.1,1.11,0.75,"36,584","36,949","36,807",-,-,14.91,15.98,17.69,-,-,8.63,8.65,8.88,-,-,3.84,3.84,3.84,3.84,3.84,1.78,1.78,1.78,1.78,1.78,4.79,4.79,4.79,4.79,4.79
Ocean,Mantoloking,10,3,-11.82,-12.84,-14.53,-15.2,-13.18,338,313,307,-,-,71.89,76.36,78.83,-,-,5.13,5.9,0.59,-,-,1.69,1.69,1.69,1.69,1.69,0.34,0.34,0.34,0.34,0.34,2.36,2.36,2.36,2.36,2.36
Middlesex,Edison,18,6,1.48,2,2.73,2.03,2.48,"70,660","71,269","72,878",-,-,52.68,53.24,53.35,-,-,42.91,43.32,44.83,-,-,7.05,7.05,7.05,7.05,7.05,43.19,43.19,43.19,43.19,43.19,8.11,8.11,8.11,8.11,8.11
Ocean,Ocean Twp,9,3,3.85,3.91,6.22,8.17,8.61,"6,722","1,447","6,887",-,-,27.43,22.81,27.46,-,-,6.37,2.27,3.7,-,-,0.59,0.59,0.59,0.59,0.59,1.08,1.08,1.08,1.08,1.08,2.76,2.76,2.76,2.76,2.76
Ocean,Pine Beach,9,3,1.41,1.79,1.08,1.18,1.93,"1,497","1,513","1,480",-,-,32.06,35.43,36.69,-,-,3.78,3.84,3.82,-,-,0.38,0.38,0.38,0.38,0.38,1.41,1.41,1.41,1.41,1.41,3.71,3.71,3.71,3.71,3.71
Middlesex,Sayreville,19,6,4,5.99,5.19,5.15,6.14,"30,367","31,021","30,800",-,-,33.89,32.96,32.43,-,-,26.77,27.11,26.52,-,-,10.71,10.71,10.71,10.71,10.71,16.12,16.12,16.12,16.12,16.12,12.31,12.31,12.31,12.31,12.31
