County  ,Municipality  ,LD  ,CD  ,% Pop Change 2013,% Pop Change 2014,% Pop Change 2015,% Pop Change 2016,% Pop Change 2017,25+ 2013,25+ 2014,25+ 2015,25+ 2016,25+ 2017,% College Grad 2013,% College Grad 2014,% College Grad 2015,% College Grad 2016,% College Grad 2017,% Foreign Born 2013,% Foreign Born 2014,% Foreign Born 2015,% Foreign Born 2016,% Foreign Born 2017,% AA 2013,% AA 2014,% AA 2015,% AA 2016,% AA 2017,% Asian 2013,,2015,2016,2017,% Hisp 2013,2014,2015,2016,2017
Bergen,Fair Lawn,38,5,1.67,3.36,3.51,3.07,3.86,"23,457","23,475","23,697",-,-,50.65,52.18,51.51,-,-,29.86,30.39,31.37,-,-,1.75,1.75,1.75,1.75,1.75,9.72,9.72,9.72,9.72,9.72,10.15,10.15,10.15,10.15,10.15
Monmouth,Asbury Park,11,6,-1.62,-2.1,-1.85,-2.44,-2.17,"10,275","10,463","10,580",-,-,17.95,20.62,20.93,-,-,24.38,23.96,24.93,-,-,51.35,51.35,51.35,51.35,51.35,0.48,0.48,0.48,0.48,0.48,25.53,25.53,25.53,25.53,25.53
Monmouth,Allenhurst,11,6,-0.6,-1.41,-1.01,-1.81,-1.41,372,381,383,-,-,60.22,59.84,56.92,-,-,3.22,2.67,2.26,-,-,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,4.44,4.44,4.44,4.44,4.44
Middlesex,Woodbridge,19,6,0.99,1.24,2.53,1.81,2.39,"71,141","71,584","72,897",-,-,33.9,34.17,34.49,-,-,29.78,30.59,31.32,-,-,9.85,9.85,9.85,9.85,9.85,22.42,22.42,22.42,22.42,22.42,15.63,15.63,15.63,15.63,15.63
Middlesex,Spotswood,14,12,1.76,2.3,2.65,2.08,2.41,"5,938","6,084","6,200",-,-,22.92,23.78,24.06,-,-,14.48,12.06,13.05,-,-,2.98,2.98,2.98,2.98,2.98,5.14,5.14,5.14,5.14,5.14,8.32,8.32,8.32,8.32,8.32
Monmouth,Colts Neck,11,4,-0.42,-0.76,-1.02,-1.75,-1.72,"6,407","6,581","6,432",-,-,56.81,56.62,57.03,-,-,6.84,6.3,5.89,-,-,1.67,1.67,1.67,1.67,1.67,4.58,4.58,4.58,4.58,4.58,3.54,3.54,3.54,3.54,3.54
Monmouth,Brielle,30,4,-0.06,-0.31,-0.36,-1.24,-1.05,"3,380","3,393","3,363",-,-,62.19,61.13,61.4,-,-,4.04,3.86,3,-,-,2.53,2.53,2.53,2.53,2.53,0.94,0.94,0.94,0.94,0.94,3.18,3.18,3.18,3.18,3.18
Monmouth,Belmar,30,4,-1,-1.29,-1.42,-1.9,-1.93,"4,486","4,553","4,504",-,-,42.62,43.73,46.4,-,-,19.29,14.32,12.71,-,-,3.49,3.49,3.49,3.49,3.49,0.91,0.91,0.91,0.91,0.91,16.76,16.76,16.76,16.76,16.76
Monmouth,Atlantic Highlands,13,6,-0.71,-1.12,-1.69,-2.05,-1.69,"3,017","3,029","3,150",-,-,46.04,48.66,49.68,-,-,6.9,6.17,6.74,-,-,1.44,1.44,1.44,1.44,1.44,2.17,2.17,2.17,2.17,2.17,5.13,5.13,5.13,5.13,5.13
Salem,Upper Pittsgrove,3,2,-0.97,-1.51,-2.34,-3.28,-4.14,"2,354","2,494","2,514",-,-,19.2,25.46,25.7,-,-,5.06,4.55,5.73,-,-,2.17,2.17,2.17,2.17,2.17,0.23,0.23,0.23,0.23,0.23,3.02,3.02,3.02,3.02,3.02
